Index,Season,S/C,Pos,G,A,A1,S,Ht,Wt,Hits,HitsT,BkS,GvA,TkA,TOI,GP,SAT% Relative,Pen Drawn,Pen Taken,SAT%,USAT %,On-Ice GF %,OZ Ratio,OZ Start%,NZ Start%,DZ Start%,FOW,FOL,ixG,iCF,18+ MPH Speed Bursts,20+ MPH Speed Bursts,22+ MPH Speed Bursts,Top Speed (MPH),GF,GA,xGF,xGA,oiSh%,oiSv%,PDO,TOI/GP
146,21-22,R,D,6,29,10,135,78,228,72,119,169,53,51,1884.97,80,-4.9,17,9,44.1,44.4,51.2,39.7,26.1,34.4,39.5,0,0,6.77,244,517,106,4,22.48,81,76,61.28,68.59,11.36,91.02,102.38,23.56
872,22-23,L,L,5,7,4,66,75,209,101,74,25,14,17,555.65,61,-3.8,16,25,47,49,61.7,22.6,10.4,54,35.6,2,1,8.04,107,320,44,0,21.87,21,13,23.7,19.73,9.21,94.69,103.9,9.11
146,22-23,R,D,4,23,6,133,78,228,115,118,144,49,59,1817.22,79,-0.6,7,15,45.6,45.7,40.6,38.5,23.6,38.7,37.7,0,0,5.55,256,464,107,3,22.8,50,73,56.53,68.97,7.66,90.74,98.39,23
872,23-24,L,L,6,6,3,57,75,209,100,47,24,16,18,521.07,59,-4.4,12,13,47.1,48.5,38.8,42,26,38.1,35.9,4,4,6.3,110,280,40,0,21.79,14,22,16.73,18.24,6.64,90.91,97.54,8.83
71,21-22,R,D,10,44,25,203,77,228,55,60,150,97,68,2144.03,82,-0.9,8,21,45,46.6,51.1,42.9,28.5,33.5,38,0,1,8.93,446,363,54,0,21.83,68,65,63.05,70.14,9.43,92.26,101.69,26.15
744,21-22,R,D,15,42,13,180,76,220,62,54,69,73,43,1520.2,61,2.8,9,13,58.1,58.7,62.6,58.5,38.8,33.7,27.5,0,0,10.86,317,271,30,1,22,67,39,59.29,40.87,9.9,92.02,101.92,24.92
71,22-23,R,D,18,43,25,255,77,228,40,47,86,52,55,1903.65,82,1.8,8,22,61.5,60,58.7,59.9,41.2,31.2,27.6,1,0,12.16,554,348,40,1,22.88,63,44,74.32,50.17,7.44,92.59,100.03,23.22
744,22-23,R,D,14,24,15,216,76,220,77,55,80,65,29,1660.98,71,1.7,16,29,54.6,52.9,46.8,50.7,32.9,35.1,32,0,0,16.58,377,348,37,1,22.12,52,59,63.57,57.98,7.54,90.15,97.69,23.39
744,23-24,R,D,4,14,6,98,76,220,85,52,59,26,14,1064.03,51,1.5,6,21,57.6,55.7,68.6,49.5,33.4,32.5,34.1,0,0,6.45,216,187,12,0,21.05,34,16,37.62,27.9,7.93,95.45,103.38,20.86
1041,21-22,L,D,23,73,36,281,73,201,66,138,133,71,48,2044.35,80,3.3,18,23,51.4,51.2,56.9,60.7,39.7,34.5,25.8,0,0,16.03,563,395,31,0,21.87,82,62,68.17,64.51,9.67,92.4,102.07,25.55
