Index,Player,Season,Team,S/C,Pos,GP,TOI,TOI/GP
744,Aaron Ekblad,20-21,FLA,R,D,35,878:11,25:05
156,Joe Pavelski,20-21,DAL,R,C,56,1065:14,19:01
21,Adam Boqvist,20-21,CHI,R,D,35,594:39,16:59
697,Brenden Dillon,20-21,WSH,L,D,56,1060:50,18:56
761,Adam Erne,20-21,DET,L,L,45,626:27,13:55
1417,Cam Atkinson,20-21,CBJ,R,R,56,1060:18,18:56
809,Adam Fox,20-21,NYR,R,D,55,1358:51,24:42
243,Mike Reilly,20-21,"OTT,BOS",L,D,55,1060:15,19:16
830,Adam Gaudette,20-21,"VAN,CHI",R,R,40,444:51,11:07
567,Nikita Zadorov,20-21,CHI,L,D,55,1056:16,19:12
947,Adam Henrique,20-21,ANA,L,C,45,721:48,16:02
246,Sam Reinhart,20-21,BUF,R,C,54,1055:06,19:32
1166,Adam Larsson,20-21,EDM,R,D,56,1100:15,19:38
628,Kyle Connor,20-21,WPG,L,L,56,1049:21,18:44
1212,Adam Lowry,20-21,WPG,L,C,52,807:21,15:31
417,Mark Stone,20-21,VGK,R,R,55,1048:21,19:03
162,Adam Pelech,20-21,NYI,L,D,56,1178:36,21:02
1436,Aleksander Barkov,20-21,FLA,L,C,50,1046:52,20:56
1076,Adrian Kempe,20-21,LAK,L,R,56,948:13,16:55
170,David Perron,20-21,STL,R,L,56,1038:45,18:32
594,Alex Chiasson,20-21,EDM,R,R,45,561:47,12:29
228,Mikko Rantanen,20-21,COL,L,R,52,1035:44,19:55
674,Alex DeBrincat,20-21,CHI,R,R,52,1068:04,20:32
199,Brayden Point,20-21,TBL,R,C,56,1032:25,18:26
832,Johnny Gaudreau,20-21,CGY,L,L,56,1031:10,18:24
821,Alex Galchenyuk,20-21,"OTT,TOR",L,C,34,432:01,12:42
400,Marc Staal,20-21,DET,L,D,56,1030:56,18:24
856,Alex Goligoski,20-21,ARI,L,D,56,1288:22,23:00
733,Christian Dvorak,20-21,ARI,L,C,56,1030:47,18:24
995,Alex Iafallo,20-21,LAK,L,L,55,1093:48,19:53
1441,Mathew Barzal,20-21,NYI,R,C,55,1029:47,18:43
1087,Alex Killorn,20-21,TBL,L,L,56,1002:43,17:54
866,Ryan Graves,20-21,COL,L,D,54,1029:01,19:03
907,Jani Hakanpää,20-21,"ANA,CAR",R,D,57,1027:12,18:01
137,Alex Ovechkin,20-21,WSH,R,L,45,877:35,19:30
1342,Brandon Montour,20-21,"BUF,FLA",R,D,50,1024:18,20:29
188,Alex Pietrangelo,20-21,VGK,R,D,41,1001:44,24:25
422,Ryan Strome,20-21,NYR,R,C,56,1023:13,18:16
488,Alex Tuch,20-21,VGK,R,R,55,925:27,16:49
1421,Nicklas Backstrom,20-21,WSH,L,C,55,1022:43,18:35
54,Connor Brown,20-21,OTT,R,R,56,1021:34,18:14
738,Alexander Edler,20-21,VAN,L,D,52,1087:08,20:54
637,Logan Couture,20-21,SJS,L,C,53,1020:55,19:15
1078,Alexander Kerfoot,20-21,TOR,L,C,56,808:53,14:26
471,Brady Tkachuk,20-21,OTT,L,L,56,1020:52,18:13
1198,Ryan Lindgren,20-21,NYR,L,D,51,1019:44,19:59
269,Alexander Romanov,20-21,MTL,L,D,54,931:50,17:15
